Year,ARBID,FACID,Facility,Primary Sector,NAICS Code,NAICS Description,Address,City,State,Zip Code,Latitude,Longitude,Tract,County,District,Basin,Cap-and-Trade,Total GHG,Non-Biomass GHG,Biomass CO2,CO2,CH4,N2O,Covered GHG,VOC,NOx,SOx,PM10,PM2.5,Benzene,13-Butadiene,Chromium Hexavalent,Diesel PM,Formaldehyde,Hydrochloric Acid,Hydrogen Sulfide,Nickel
"2019","100002","174591","Tesoro Los Angeles Refinery - Wilmington Calciner","Other Combustion Source","324199","All Other Petroleum and Coal Products Manufacturing","2450 Pier B Street , Long Beach, CA 90813","Wilmington","California","90813","33.777","-118.229","CA06037980014","Los Angeles","South Coast AQMD","South Coast","Yes","262,854","262,854","0","262,232","7.56","1.49","262,853","1.7","293.7","207.2","6.9","4.4","0.114","0.005","0.497","10.1","0","","","37.1"
"2019","100063","44577","Southeast Resource Recovery Facility (SERRF)","Electricity Generation","562213","Solid Waste Combustors and Incinerators","120 Pier S Avenue , Long Beach, CA 90802","Long Beach","California","90802","33.759","-118.241","CA06037980033","Los Angeles","South Coast AQMD","South Coast","Yes","359,127","132,356","226,771","357,326","2.88","5.62","132,356","13.4","269.8","16.9","10","7.1","2.03","0.116","0.043","17.9","5.02","","","11.2"
"2019","100064","","LACSD - Commerce Refuse To Energy","Electricity Generation","562213","Solid Waste Combustors and Incinerators","5926 Sheila Street , Commerce, CA 90040","Commerce","California","90040","33.995","-118.153","CA06037532303","Los Angeles","South Coast AQMD","South Coast","No","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","","",""
"2019","100071","25070","LACSD - Puente Hills Landfill","Electricity Generation","562212","Solid Waste Landfill","13130 Crossroads Parkway , City of Industry, CA 90607","City of Industry","California","90607","34.028","-118.017","CA06037408402","Los Angeles","South Coast AQMD","South Coast","No","114,774","598","114,176","114,198","7.02","1.38","0","8","41.5","88.5","15.5","15.3","221","0.151","0","23.2","1.2","","","0.003"
"2019","100088","104806","MM Lopez Energy LLC","Electricity Generation","221119","Other Electric Power Generation","11950 Lopez Canyon Road , Lake View Terrace, CA 91342","Lake View Terrace","California","91342","34.288","-118.401","CA06037104204","Los Angeles","South Coast AQMD","South Coast","No","12,096","61","12,035","12,035","0.74","0.15","0","0.8","4.8","0.1","0.3","0.3","3.62","","0.018","","3.3","","","2.83"
"2019","100120","20445","Biola University","Other Combustion Source","611310","Colleges, Universities, and Professional Schools","13800 Biola Ave , La Mirada, CA 90639","La Mirada","California","90639","33.907","-118.013","CA06037504001","Los Angeles","South Coast AQMD","South Coast","No","7,446","7,446","0","7,438","0.14","0.01","0","2.9","1.2","0","1.2","1","1.59","0.92","0","6.34","1.58","","","0.001"
"2019","100127","101656","Air Products Wilmington Hydrogen Plant","Hydrogen Plant","325120","Industrial Gas Manufacturing","700 N. Henry Ford Ave. , Wilmington, CA 90744","Wilmington","California","90744","33.779","-118.242","CA06037980014","Los Angeles","South Coast AQMD","South Coast","Yes","823,044","823,044","0","822,109","10.72","2.29","823,044","6","26.9","3.5","8.6","8.1","25.5","0.065","0","","54.3","","","0.001"
"2019","100129","","Carson Cogeneration Co","Cogeneration","221112","Fossil Fuel Electric Power Generation","17171 South Central Avenue , Carson, CA 90746","Carson","California","90746","33.876","-118.248","CA06037543202","Los Angeles","South Coast AQMD","South Coast","No","13,953","13,953","0","13,939","0.28","0.03","0","0","0","0","0","0","","","","","","","",""
"2019","100138","800030","Chevron Products Company - El Segundo Refinery, 90245","Refinery","324110","Petroleum Refineries","324, W. El Segundo Boulevard , El Segundo, CA 90245","El Segundo","California","90245","33.916","-118.419","CA06037620102","Los Angeles","South Coast AQMD","South Coast","Yes","3,313,212","3,313,212","0","3,301,815","217.17","22.06","3,312,084","554.8","640.4","275.4","228","217.6","788","14.8","0.031","804","4,420","4.47","5,742","165"
"2019","100151","800386","Pitchess Cogeneration Station","Other Combustion Source","922140","Correctional Institutions","29300 The Old Road , Saugus, CA 91350","Saugus","California","91350","34.464","-118.594","CA06037920200","Los Angeles","South Coast AQMD","South Coast","Yes","11,080","11,080","0","11,069","0.21","0.02","11,080","1","4.1","0.1","1.5","1.3","3.73","1.55","0.001","239","15.3","0","","0.028"
"2019","100164","","NRG Energy - El Segundo","Electricity Generation","221112","Fossil Fuel Electric Power Generation","301 Vista del Mar , El Segundo, CA 90245","El Segundo","California","90245","33.906","-118.421","CA06037980030","Los Angeles","South Coast AQMD","South Coast","Yes","243,454","243,454","0","243,216","4.59","0.46","243,454","0","0","0","0","0","0","0","","","0","","",""
"2019","100179","800168","Pasadena Water and Power, Glenarm","Electricity Generation","221112","Fossil Fuel Electric Power Generation","72 East Glenarm Street , Pasadena, CA 91105","Pasadena","California","91105","34.125","-118.148","CA06037464000","Los Angeles","South Coast AQMD","South Coast","Yes","35,539","35,539","0","35,505","0.66","0.07","35,539","0.3","7","0.4","4","3.9","0.227","0.281","0","0.108","40.5","","","0"
"2019","100181","800327","Grayson Power Plant","Electricity Generation","221112","Fossil Fuel Electric Power Generation","800 Air Way , Glendale, CA 91201","Glendale","California","91201","34.155","-118.278","CA06037301601","Los Angeles","South Coast AQMD","South Coast","Yes","67,486","67,486","0","67,421","1.25","0.13","67,486","3.9","15.6","0.4","8.4","8.3","4.52","0.156","0","8.67","169","0.048","","0.001"
"2019","100185","800170","Los Angeles Department of Water & Power-Harbor Generating Station (LADWP)","Electricity Generation","221112","Fossil Fuel Electric Power Generation","161 N Island Ave , Wilmington, CA 90744","Wilmington","California","90744","33.771","-118.266","CA06037294830","Los Angeles","South Coast AQMD","South Coast","Yes","60,447","60,447","0","60,387","1.15","0.12","60,044","1.8","33","0.3","0.4","0.4","14","0.618","0.057","7.23","809","6.93","","0.025"
"2019","100186","156741","Harbor Cogeneration Company, LLC","Electricity Generation","221112","Fossil Fuel Electric Power Generation","505 Pier B St. , Wilmington, CA 90744","Wilmington","California","90744","33.777","-118.23","CA06037980014","Los Angeles","South Coast AQMD","South Coast","No","3,683","3,683","0","3,680","0.07","0.01","0","0.1","6.7","0","0.1","0.1","1.32","0.118","0","4.32","12.8","","","0.001"
"2019","100187","800074","Los Angeles Department of Water & Power-Haynes Generating Station (LADWP)","Electricity Generation","221112","Fossil Fuel Electric Power Generation","6801 E 2nd St , Long Beach, CA 90803","Long Beach","California","90803","33.76","-118.097","CA06037980007","Los Angeles","South Coast AQMD","South Coast","Yes","1,185,579","1,185,579","0","1,184,413","22.39","2.24","1,184,939","11.7","80.1","4.3","17.7","17.6","65.9","25.9","0.007","375","2,885","","","0.295"
"2019","100208","115314","NRG Energy - Long Beach","Electricity Generation","221112","Fossil Fuel Electric Power Generation","2665 Pier S Lane , Long Beach, CA 90802","Long Beach","California","90802","33.762","-118.227","CA06037980033","Los Angeles","South Coast AQMD","South Coast","Yes","13,135","13,135","0","13,123","0.24","0.02","13,135","0.3","3.5","0.3","0.8","0.8","2.87","0.103","","","170","","",""
"2019","100217","","Torrance Refinery","Refinery","324110","Petroleum Refineries","3700 WEST 190TH STREET , TORRANCE, CA 90504","Torrance","California","90504","33.852","-118.331","CA06037980005","Los Angeles","South Coast AQMD","South Coast","Yes","2,810,773","2,810,773","0","2,802,047","171.78","16.51","2,810,220","0","0","0","0","0","","","","","","","",""
"2019","100257","115536","AES Redondo Beach LLC","Electricity Generation","221112","Fossil Fuel Electric Power Generation","1100 North Harbor Drive , Redondo Beach, CA 90277","Redondo Beach","California","90277","33.85","-118.393","CA06037621204","Los Angeles","South Coast AQMD","South Coast","Yes","171,501","171,501","0","171,336","3.18","0.32","171,501","8.4","13.7","0.9","11.7","11.7","5.22","0.003","","","11","","","0"
"2019","100259","","Eco Services - Dominguez","Other Combustion Source","325188","All Other Basic Inorganic Chemical Manufacturing","20720 S. Wilmington Ave. , Carson, CA 90810","Carson","California","90810","33.843","-118.233","CA06037980025","Los Angeles","South Coast AQMD","South Coast","Yes","36,135","36,135","0","36,099","0.68","0.07","36,135","0","0","0","0","0","","","","","","","",""
"2019","100314","14502","Malburg Generating Station","Electricity Generation","221112","Fossil Fuel Electric Power Generation","4963 Soto Street , Vernon, CA 90058","Vernon","California","90058","33.999","-118.221","CA06037532400","Los Angeles","South Coast AQMD","South Coast","Yes","270,986","270,986","0","270,725","5.02","0.5","270,986","5.6","20.8","0.7","15.9","15.4","60.273","2.207","0","8.24","3,553.6","","","0.001"
"2019","100327","800387","California Institute of Technology (CalTech)","Other Combustion Source","611310","Colleges, Universities, and Professional Schools","1200 E. California Blvd. , Pasadena, CA 91125","Pasadena","California","91125","34.135","-118.128","CA06037463500","Los Angeles","South Coast AQMD","South Coast","Yes","60,292","60,292","0","60,233","1.14","0.11","60,292","4.2","4.2","4.8","5.7","4.7","23.8","0.876","0","69.8","706","0","","0.008"
"2019","100328","550","Civic Center Cogen, LA County","Other Combustion Source","221330","Steam and Air-Conditioning Supply","301 N. Broadway , Los Angeles, CA 90012","Los Angeles","California","90012","34.057","-118.244","CA06037207400","Los Angeles","South Coast AQMD","South Coast","Yes","69,771","69,771","0","69,703","1.31","0.13","69,771","1.8","19.3","1.9","7.4","6.2","14.5","0.469","","","777","","",""
"2019","100329","","Phillips 66 Company - Los Angeles Refinery - Wilmington Plant","Refinery","324110","Petroleum Refineries","1660 W. Anaheim St. , Wilmington, CA 90744","Wilmington","California","90744","33.779","-118.29","CA06037980015","Los Angeles","South Coast AQMD","South Coast","Yes","1,811,847","1,811,847","0","1,804,097","130.52","16.16","1,809,562","0","0","0","0","0","0","0","0","","0","","","0"
"2019","100878","","Metropolitan State Hospital","Cogeneration","622210","Psychiatric and Substance Abuse Hospitals","11500 Balsam St , Norwalk, CA 90650","Norwalk","California","90650","33.925","-118.068","CA06037550000","Los Angeles","South Coast AQMD","South Coast","No","4,067","4,067","0","4,063","0.08","0.01","0","0","0","0","0","0","","","","","","","",""
"2019","100895","","Berry Petroleum Company - Placerita","Oil and Gas Production","211111","Crude Petroleum and Natural Gas Extraction","25121 North Sierra Highway , Newhall, CA 91321","Newhall","California","91321","34.385","-118.495","CA06037920332","Los Angeles","South Coast AQMD","South Coast","Yes","214,560","214,560","0","214,075","17.26","0.4","214,490","0","0","0","0","0","","","","","","","",""
"2019","100913","171109","Phillips 66 Company - Los Angeles Refinery - Carson Plant","Refinery","324110","Petroleum Refineries","1520 E. Sepulveda Blvd. , Carson, CA 90745","Carson","California","90745","33.809","-118.243","CA06037980002","Los Angeles","South Coast AQMD","South Coast","Yes","897,746","897,746","0","893,934","66.13","7.82","896,998","81.9","292.3","249","82.3","76.3","921","64.7","0.031","280","0","3.39","5,486","31.7"
"2019","100915","5973","Southern California Gas Co - Honor Rancho Facility","Oil and Gas Production","486210","Pipeline Transportation of Natural Gas","25205 W. Rye Canyon Road , Valencia, CA 91355","Valencia","California","91355","34.438","-118.577","CA06037920107","Los Angeles","South Coast AQMD","South Coast","Yes","32,220","32,220","0","28,756","164.16","0.05","29,959","10.8","55.3","0.2","2.6","2.6","297","149","0","7.42","963","","","0.001"
